"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","waterfowl.relative.abundance","waterfowl.richness","meanrisk","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","waterfowl.relative.abundance.norm","waterfowl.richness.norm","meanrisk.norm","Area_Ha.norm"
"56",56,13.785507085,-5.3891614155,9.075091215,19.504710735,4.4478903015,10.348898583,0.042882614,8.133646011,153.868926532233,106.011768889,0.641753275328285,0.864954082426361,0.832857930960439,0.281107063244689,0.558335470810475,0.569715315484242,0.0520573482788445,0.308505871239821,0.131876220746868,0.00244894914025852
"57",57,14.078195685,-5.3649200145,8.1777675975,19.885388705,4.39671206,10.421645801,0.049433827,9.218690872,461.606779596698,19.3654790717,0.651362760409689,0.865940479738575,0.807936637903393,0.295863047436126,0.55505585178022,0.576116722693328,0.0600101931494928,0.3496611796617,0.395628662240604,0.000446227033853651
"58",58,14.383253285,-6.010171078,11.43651106,19.38210106,3.996939934,10.3274764675,0.063274071,10.92798519,461.606779596698,11.0051519857,0.661378341666249,0.839684822537116,0.898441444912661,0.276354420411123,0.529437537555904,0.567830271789573,0.0768115570349171,0.414494015030575,0.395628662240604,0.000252988386160688
"59",59,14.4009513,-6.519080557,-1.1829365785,19.33034222,3.8766122495,10.091545428,0.068791956,11.00712395,230.803389798349,42.2890007705,0.661959398841393,0.818976987117644,0.547962591259724,0.274348124578434,0.521726663708223,0.547069468852718,0.0835099934037357,0.417495715875389,0.197814331120302,0.000976075960560633
"60",60,14.82373996,-6.805525222,11.4186226,18.88495872,2.5235793215,10.3947817885,0.049226779,8.670926094,230.803389798349,119.052717146,0.6758402992962,0.807321379933314,0.897944630223617,0.257084000034724,0.435021212149675,0.573752818093121,0.0597588472346557,0.328884685351174,0.197814331120302,0.00275037457252858
"61",61,14.95840469,-6.85204062,10.1766443185,18.860255515,2.6397130575,10.4553635005,0.069732726,12.56492424,461.606779596698,9.36943867106,0.680261580869607,0.805428640171131,0.863451272286621,0.256126445011359,0.442463328163766,0.579083718965998,0.0846520411235946,0.47658244463567,0.395628662240604,0.000215180890630553
"62",62,13.547234505,-4.994354717,0.5037660115,18.51237293,3.443605378,8.574921581,0.056398463,6.195326328,345.236976984331,34.6096608599,0.633930364552745,0.881019006489297,0.594807239863291,0.242641688000765,0.493978590808875,0.413613824849152,0.068464912861481,0.234986197315422,0.295891761987627,0.000798577491393808
"63",63,13.35317583,-4.9620411905,0.647636443,19.47105526,3.3053404995,8.870093011,0.039901629,5.430589676,215.864231847417,13.1590875575,0.627559074579957,0.882333863484886,0.598802941208637,0.279802496928295,0.485118260452576,0.439587498782886,0.0484385816066679,0.205980048440094,0.185010448386404,0.000302773949910867
"64",64,13.39749533,-5.413436797,2.325891277,18.448133705,3.858046668,8.7403654435,0.058783542,7.984753609,345.236976984331,8.80131767468,0.629014162253564,0.86396630242699,0.64541297099816,0.240151622740172,0.520536938688164,0.42817209337437,0.0713602794586655,0.302858443242846,0.295891761987627,0.000202049474606139
"65",65,12.71088384,-5.434604211,2.449081366,18.744606655,3.5765830885,8.5429622945,0.076084055,12.57372284,172.618488492166,18.4221321034,0.606471491066933,0.863104987510574,0.648834318937542,0.251643619935042,0.502500107320057,0.41080156050939,0.092362236817041,0.476916171940131,0.147945880993813,0.000424422732349131
"66",66,13.372165025,-4.772098872,0.724958333,18.924692055,3.423132948,8.2757534605,0.007970936,2.575315952,345.236976984331,36.7554599004,0.628182523481145,0.890062731649063,0.600950395530393,0.258624158670994,0.492666670565903,0.387288461268961,0.00967631757383959,0.0976806822444794,0.295891761987627,0.000848174989259824
"67",67,13.73170543,-4.6000316175,0.8208391065,18.6444125,2.636360553,7.926765386,0.015532237,2.564800739,345.236976984331,9.89852314899,0.639986871713394,0.897064252615557,0.603613284156446,0.247759856009185,0.442248491990522,0.35657918004271,0.0188553587488523,0.0972818445100304,0.295891761987627,0.00022741002568458
"68",68,14.005918775,-4.480525013,0.9231999075,18.47537501,2.8776408215,8.0028073625,0.022346839,3.397781134,345.236976984331,4.09476634046,0.648989781453983,0.901927048848767,0.606456142039071,0.241207560560619,0.45771028467829,0.363270510239835,0.0271279446899917,0.128876450685124,0.295891761987627,0.0000932633462924281
"69",69,14.05590256,-4.429670318,8.6371296645,18.3727434,2.669432148,7.78746018,0.012049061,2.408913136,345.236976984331,21.9043776881,0.650630837635432,0.903996357238221,0.820694461800742,0.237229315077431,0.444367795607526,0.344320988259326,0.0146269573237779,0.0913690913961179,0.295891761987627,0.000504910543507746
"70",70,14.249927425,-4.3051736765,0.97720508,18.80812009,1.885055393,7.4716344115,0.023558136,3.768558025,215.864231847417,3.65544529203,0.657001017566044,0.909062201104059,0.60795602313461,0.254105551847739,0.394103135134826,0.316529831334383,0.0285983986552775,0.142939866727431,0.185010448386404,0.0000831089821834175
