EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
335,0.33,-25.48,-17.28,29.74,-7.31,1.78,0.04,17.05,226.12,0.51,0.36,0.29,0.27,0.73,0.32,0.30,0.05,0.21,0.19,0.00
336,0.43,-25.20,-16.74,25.67,-7.38,1.23,0.06,22.26,32.30,208.03,0.36,0.30,0.28,0.58,0.32,0.26,0.08,0.28,0.03,0.00
337,6.33,-9.46,-1.79,17.99,-6.25,4.06,0.07,26.64,388.61,13.84,0.59,0.92,0.71,0.28,0.37,0.45,0.09,0.33,0.33,0.00
338,6.07,-9.49,-1.54,17.58,-6.65,3.89,0.07,35.61,388.61,10.05,0.58,0.92,0.72,0.26,0.35,0.44,0.10,0.45,0.33,0.00
339,6.54,-9.40,-1.75,18.00,-3.90,5.70,0.09,20.69,262.68,7.33,0.60,0.93,0.71,0.28,0.47,0.57,0.12,0.26,0.23,0.00
340,6.61,-9.53,-1.65,18.01,-3.66,5.91,0.14,37.46,592.54,22.18,0.60,0.92,0.71,0.28,0.48,0.58,0.19,0.47,0.51,0.00
341,6.76,-9.39,-1.33,17.89,-5.07,5.13,0.12,31.71,65.67,74.09,0.61,0.93,0.72,0.27,0.42,0.53,0.17,0.40,0.06,0.00
342,7.39,-9.26,-2.40,17.53,-2.58,5.46,0.11,39.98,375.55,4.42,0.63,0.93,0.69,0.26,0.53,0.55,0.16,0.51,0.32,0.00
343,10.13,-14.52,-6.88,22.26,-2.30,4.94,0.08,24.82,0.00,9.55,0.74,0.72,0.56,0.44,0.54,0.51,0.11,0.31,0.00,0.00
344,0.25,-27.71,-18.52,25.41,-7.25,1.64,0.04,22.70,226.12,1.00,0.35,0.20,0.23,0.57,0.33,0.29,0.05,0.28,0.19,0.00
345,0.43,-27.06,-17.68,26.45,-7.43,1.86,0.05,17.14,226.12,1.63,0.36,0.23,0.26,0.61,0.32,0.30,0.06,0.21,0.19,0.00
346,0.84,-27.05,-17.25,24.83,-7.34,1.75,0.06,26.29,56.53,86.92,0.38,0.23,0.27,0.54,0.32,0.30,0.09,0.33,0.05,0.00
347,1.56,-24.54,-15.60,23.65,-6.83,2.12,0.05,18.61,226.12,2.58,0.40,0.33,0.31,0.50,0.34,0.32,0.06,0.23,0.19,0.00
348,1.69,-24.18,-15.33,23.76,-7.43,1.76,0.05,16.33,226.12,55.85,0.41,0.34,0.32,0.50,0.32,0.30,0.06,0.20,0.19,0.00
349,0.05,-24.44,-15.87,22.62,-8.32,1.71,0.04,23.76,340.82,3.95,0.35,0.33,0.31,0.46,0.28,0.29,0.05,0.30,0.29,0.00
350,3.51,-22.87,-14.30,22.46,-7.72,2.02,0.05,30.29,170.41,35.37,0.48,0.39,0.35,0.45,0.31,0.31,0.06,0.38,0.15,0.00
351,5.13,-17.29,-10.34,20.00,-9.39,1.41,0.05,32.62,99.13,57.56,0.54,0.61,0.46,0.36,0.23,0.27,0.06,0.41,0.09,0.00
352,3.53,-22.58,-14.36,22.49,-6.71,2.70,0.08,36.63,281.83,0.59,0.48,0.40,0.35,0.45,0.35,0.36,0.10,0.46,0.24,0.00
353,3.32,-23.13,-14.71,24.58,-6.39,3.16,0.08,34.57,281.83,3.92,0.47,0.38,0.34,0.53,0.36,0.39,0.10,0.44,0.24,0.00
354,2.55,-24.75,-15.76,23.50,-6.56,2.34,0.04,19.46,281.83,11.76,0.44,0.32,0.31,0.49,0.36,0.34,0.06,0.24,0.24,0.00
355,1.41,-22.59,-14.84,23.35,-6.80,1.34,0.06,22.49,226.12,70.13,0.40,0.40,0.34,0.49,0.35,0.27,0.08,0.28,0.19,0.00
356,1.97,-23.04,-14.96,23.05,-6.80,1.63,0.05,17.69,226.12,29.66,0.42,0.39,0.33,0.47,0.35,0.29,0.06,0.22,0.19,0.00
357,1.78,-22.61,-14.72,22.68,-6.91,1.45,0.06,29.77,46.97,264.29,0.41,0.40,0.34,0.46,0.34,0.28,0.08,0.37,0.04,0.01
358,1.67,-21.11,-13.93,22.08,-6.75,1.44,0.05,21.63,56.37,91.66,0.41,0.46,0.36,0.44,0.35,0.27,0.07,0.27,0.05,0.00
359,0.93,-19.15,-12.98,22.82,-6.20,2.44,0.06,24.33,25.67,162.80,0.38,0.54,0.39,0.47,0.37,0.34,0.08,0.30,0.02,0.00
360,1.06,-19.79,-13.28,24.08,-6.42,2.68,0.06,22.98,70.46,96.08,0.39,0.51,0.38,0.51,0.36,0.36,0.07,0.29,0.06,0.00
361,2.02,-17.98,-11.09,19.12,1.16,7.55,0.21,61.43,4.52,402.25,0.42,0.59,0.44,0.32,0.69,0.69,0.29,0.78,0.00,0.01
362,1.13,-18.32,-12.49,22.55,-6.95,3.51,0.07,34.08,281.83,37.62,0.39,0.57,0.40,0.46,0.34,0.42,0.09,0.43,0.24,0.00
