"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","relative.abundance","richness","risk1","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","relative.abundance.norm","richness.norm","risk1.norm","Area_Ha.norm"
"33",33,19.05685618,2.119187813,7.597910601,36.6349364,10.37708457,16.49456576,0.119358949,40.2235527,0,292.204541714,0.753122786852601,0.804332837570915,0.73653615691113,0.494792042740301,0.555771445378692,0.499586844184278,0.163722764612726,0.508772958014697,0,0.00675256540560258
"34",34,14.11595614,-4.571245644,-0.595801407,27.7179698,8.49394493,13.68230163,0.17308645,53.15421677,0,109.603271508,0.592736110216134,0.603078770145526,0.513869232649399,0.240323157198254,0.472187467799239,0.344768328952782,0.239869318895286,0.676492799254976,0,0.00253196229299073
"35",35,23.12857549,-6.104504847,1.905110823,43.57613685,4.951825895,11.55379066,0.08588355,38.08821487,1.4290007011452,19540.0772427,0.885294966625625,0.556956997467508,0.58183237726065,0.692877291016935,0.314968963278142,0.227591245721503,0.116278974381651,0.481076118942613,0.00122403386112363,0.451643399633047
"36",36,12.44353376,-7.242524312,-3.012433141,26.67826554,8.041784628,12.75854461,0.168926567,49.17263794,0,162.545427685,0.538447566572445,0.522724380461073,0.448196439322309,0.210652485970718,0.45211813478648,0.293914396441446,0.23397362766132,0.624848911080464,0,0.00375565492610849
"37",37,15.98162866,-1.791807508,2.292234819,28.57970896,8.762693866,13.36993666,0.081771418,22.06613541,438.677290554965,33.3295430069,0.653297751364977,0.686686690861333,0.592352604163068,0.264915130400569,0.484116007013211,0.327572262498764,0.11045095936649,0.273258437745182,0.375756189143176,0.000768989146313916
"38",38,16.98741423,-1.149116423,3.067610978,28.62055652,8.848527382,13.28975011,0.062626339,15.87635136,438.677290554965,17.0454910378,0.6859465812695,0.706019398642614,0.613423716291715,0.266080822001378,0.48792576520879,0.323157896692898,0.0833171494891722,0.192972569010398,0.375756189143176,0.000392603372276412
"39",39,17.07386036,-2.669351088,4.489406307,29.2653739,11.14958958,15.73114986,0.094106957,31.45837212,289.526205305784,7.92993482546,0.688752711202618,0.660289415415262,0.652061490298053,0.284482366767368,0.590059418540287,0.457559882747297,0.127933789808728,0.395082378214492,0.247998394047606,0.000181908534942655
"40",40,17.08963454,-1.282034616,3.526246801,29.14122578,9.832136315,14.56158081,0.065181822,18.17874908,440.185636539681,15.6133176476,0.689264757244105,0.702021103592225,0.625887301534148,0.280939476549686,0.531583678438646,0.393173702996211,0.0869389673916587,0.222836292789773,0.377048187501262,0.000359500451022585
"41",41,17.19445038,-1.037892661,3.685078537,29.10142408,9.541359062,14.2605991,0.063562311,18.00679779,440.185636539681,15.6627962751,0.692667186781307,0.709365106307255,0.630203608245409,0.279803631290192,0.518677402728064,0.376604298665745,0.0846436776428817,0.220605963171454,0.377048187501262,0.000360644088462777
"42",42,17.26053504,-1.133350021,3.454298817,29.80135502,9.609909529,14.15450532,0.075823918,23.05750084,438.677290554965,15.9739320922,0.694812362540429,0.706493665751249,0.623932090478588,0.29977798515378,0.521720045225244,0.370763708758247,0.102021726233247,0.286117147215213,0.375756189143176,0.00036783560907277
"43",43,18.3147627,1.427461881,7.893760063,27.04385496,4.843442671,9.861546938,0.070741788,24.20385361,248.975287086555,23.8910981309,0.729033672309253,0.783525118870273,0.744575967156317,0.221085533042282,0.310158326418092,0.134431198037838,0.0948189589220332,0.30098615189656,0.213263843560532,0.000550831135819682
"44",44,18.39131223,-1.867888161,3.00807392,29.70551248,7.891603515,11.5681475,0.063129798,29.23499489,139.845290028209,103.846660481,0.731518548468534,0.684398118533839,0.611805776392008,0.297042868444773,0.445452280319177,0.228381606992518,0.0840306885028803,0.366243605974014,0.119786764398368,0.00239890533018186
"45",45,17.84416725,-2.283613618,3.429339018,29.50033692,7.843886347,11.49031406,0.096005321,50.26605225,39.9557971509168,335.242448372,0.713757661935697,0.671892734586557,0.623253799410011,0.291187649014696,0.443334332921358,0.224096782716016,0.130624290477539,0.639031266564319,0.0342247898281051,0.00774733352849752
"46",46,17.62258037,0.632569951,4.805593798,34.22258732,10.22375385,19.34832573,0.067208163,26.94711304,369.819725158936,36.3675853146,0.706564724822676,0.759614077066436,0.66065399343244,0.425949373538649,0.548965794225429,0.656689755205114,0.0898108464494894,0.336568163275849,0.316775118264954,0.000839209746672608
"47",47,17.93045761,-0.134358232,4.540413459,33.59776481,9.293661115,17.25023842,0.056259494,22.55920792,184.909862579468,21.8516012886,0.716558735415048,0.736544209135768,0.653447627086862,0.408118434508184,0.507683220879433,0.541187530966937,0.0742935898711443,0.279653936278704,0.158387559132477,0.000503690682135748
"48",48,17.9270421,-0.92773135,3.526441478,30.39862612,9.227907134,13.74513514,0.060913384,27.61920357,369.819725158936,25.2755326299,0.716447864461682,0.712678854520156,0.625892591948159,0.316822672882393,0.50476470163799,0.348227389082025,0.0808894240512985,0.345285651904466,0.316775118264954,0.000582830631491835
"49",49,18.8218814,-0.322541304,4.672552077,33.76597158,8.677345414,16.87812466,0.062070675,25.26203537,419.973554013431,18.7464247566,0.74549526479134,0.730883498375544,0.657038539193307,0.412918653150085,0.48032777859569,0.520702221921513,0.0825296217212444,0.314711516334905,0.359735198504035,0.000431918356995931
"50",50,18.99250638,-0.882456317,14.89711285,33.36609708,8.404826717,15.678498,0.067323029,22.92276382,209.986777006715,84.7699100628,0.751033926426227,0.714040766958659,0.93489447274677,0.401507191950748,0.468231916888891,0.454661334669106,0.0899736429678724,0.284369512949776,0.179867599252017,0.00195796977643274
"51",51,17.90794259,1.314146792,5.453614122,35.3867681,10.48565959,19.350612,0.07274697,32.54335785,209.986777006715,61.2265761531,0.715827874802008,0.780116502267405,0.678264167217324,0.459172306733898,0.560590595188193,0.656815617112267,0.0976608498934635,0.409155409065688,0.179867599252017,0.00141379465504153
"52",52,17.78464457,1.208984023,5.319711535,34.74818821,10.60948831,19.25076953,0.07274697,32.54335785,209.986777006715,23.864227599,0.711825494769309,0.776953114552843,0.674625318650415,0.440948765004151,0.566086787152041,0.651319169322192,0.0976608498934635,0.409155409065688,0.179867599252017,0.000550210056621017
"53",53,17.21450372,1.500617615,5.30887954,34.81231016,11.06108288,19.33595633,0.085039526,39.70817184,125.327682540141,59.3906935062,0.693318138739862,0.785725707085912,0.674330955484134,0.44277865199232,0.586131009902237,0.656008804891139,0.115082761676135,0.502088104433354,0.107351470886156,0.00137136049231552
