EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
189,16.65,-26.01,-5.7,20.17,-11.02,0.21,0.06,25.53,544.17,13.91,0.99,0.27,0.6,0.36,0.16,0.19,0.08,0.32,0.47,0
190,15.44,-22.25,-5.55,18.74,-12.6,-0.85,0.07,30.8,1166.08,13.7,0.95,0.42,0.6,0.31,0.1,0.12,0.1,0.39,1,0
191,8.31,-20.16,-11.84,18.49,-11.67,-0.82,0.03,14.99,1003.47,1.72,0.67,0.5,0.42,0.3,0.14,0.12,0.03,0.18,0.86,0
192,7.46,-20.06,-11.39,18.44,-10.96,-0.88,0.06,28.12,487.72,49.22,0.63,0.5,0.43,0.3,0.17,0.12,0.08,0.35,0.42,0
193,6.38,-19.4,-11.14,18.25,-11.28,-0.68,0.08,40.84,96.01,202.01,0.59,0.53,0.44,0.29,0.15,0.13,0.1,0.52,0.08,0
194,6.15,-19.24,-11.14,18.42,-11.31,-0.65,0.06,34.02,858.37,0.97,0.58,0.54,0.44,0.3,0.15,0.13,0.08,0.43,0.74,0
195,6.64,-20.9,-12.15,18.62,-11.35,-1.14,0.09,39.51,969.01,22.58,0.6,0.47,0.41,0.3,0.15,0.1,0.12,0.5,0.83,0
196,7.48,-21.21,-12.7,18.66,-11.76,-1.02,0.03,20.24,297.89,38.86,0.64,0.46,0.4,0.3,0.13,0.11,0.04,0.25,0.26,0
197,6.82,-19.77,-11.27,18.21,-10.84,-0.59,0.09,40.31,86.41,369.7,0.61,0.51,0.44,0.29,0.17,0.14,0.12,0.51,0.07,0.01
198,6.03,-17.26,-9.82,18.13,-11.54,0.15,0.11,52.26,216.01,111.51,0.58,0.61,0.48,0.28,0.14,0.19,0.16,0.66,0.19,0
199,3.93,-19.02,-11.56,20.66,-13.91,-0.87,0.13,55.45,270.68,167.26,0.5,0.54,0.43,0.38,0.04,0.12,0.18,0.71,0.23,0
200,5.98,-27.25,-17.54,26.25,-11.9,-2.44,0.07,26.93,357.73,19.37,0.58,0.22,0.26,0.6,0.13,0.01,0.09,0.34,0.31,0
201,4.54,-29.9,-19.44,27.76,-10.63,-1.86,0.07,18.09,354.77,62.45,0.52,0.11,0.2,0.66,0.18,0.05,0.09,0.22,0.3,0
202,4.7,-29.63,-19.34,29.45,-10.85,-1.78,0.07,21.07,709.55,1.09,0.53,0.12,0.21,0.72,0.17,0.05,0.09,0.26,0.61,0
